actor_id,identifier,namespace,datasource_id
213800DXAY5TCEPA3S29,213800DXAY5TCEPA3S29,LEI,GLEIF_golden_copy
2549007B0SLVLUP0UH16,2549007B0SLVLUP0UH16,LEI,GLEIF_golden_copy
2549007TZ2BNTBR5E019,2549007TZ2BNTBR5E019,LEI,GLEIF_golden_copy
2549008Y9VL7P2U8OR31,2549008Y9VL7P2U8OR31,LEI,GLEIF_golden_copy
2549009EF8SNW0NM1D69,2549009EF8SNW0NM1D69,LEI,GLEIF_golden_copy
254900ALVJUAGHGF3855,254900ALVJUAGHGF3855,LEI,GLEIF_golden_copy
254900HI3APU3ZVVJ925,254900HI3APU3ZVVJ925,LEI,GLEIF_golden_copy
254900IRDIJ02P4ZCI05,254900IRDIJ02P4ZCI05,LEI,GLEIF_golden_copy
254900OG0ZSAC42XS380,254900OG0ZSAC42XS380,LEI,GLEIF_golden_copy
254900ONJ1OWBRJROP98,254900ONJ1OWBRJROP98,LEI,GLEIF_golden_copy
254900Q63DTCVHIU0H11,254900Q63DTCVHIU0H11,LEI,GLEIF_golden_copy
254900SRJAXOE45AIQ69,254900SRJAXOE45AIQ69,LEI,GLEIF_golden_copy
254900WSJMA2P4XUR797,254900WSJMA2P4XUR797,LEI,GLEIF_golden_copy
38BB4H4JFWMQTNI3W911,38BB4H4JFWMQTNI3W911,LEI,GLEIF_golden_copy
529900G32H6145TBDT30,529900G32H6145TBDT30,LEI,GLEIF_golden_copy
529900S7UO4VPNLSFT33,529900S7UO4VPNLSFT33,LEI,GLEIF_golden_copy
529900U45A1JKZFABZ35,529900U45A1JKZFABZ35,LEI,GLEIF_golden_copy
54930002OWIJO351J404,54930002OWIJO351J404,LEI,GLEIF_golden_copy
5493000BBN3EF2L0XW29,5493000BBN3EF2L0XW29,LEI,GLEIF_golden_copy
54930017KTY7LFN77D56,54930017KTY7LFN77D56,LEI,GLEIF_golden_copy
5493001Y2YY733C7D136,5493001Y2YY733C7D136,LEI,GLEIF_golden_copy
5493002J5Z300QBQAP74,5493002J5Z300QBQAP74,LEI,GLEIF_golden_copy
5493002WXPTG5ZC1T326,5493002WXPTG5ZC1T326,LEI,GLEIF_golden_copy
54930030MPVYJ0MTAS08,54930030MPVYJ0MTAS08,LEI,GLEIF_golden_copy
549300423UKB9GA8NE20,549300423UKB9GA8NE20,LEI,GLEIF_golden_copy
5493004YGJYYQC3S2C75,5493004YGJYYQC3S2C75,LEI,GLEIF_golden_copy
54930056WZE8OYLZ0321,54930056WZE8OYLZ0321,LEI,GLEIF_golden_copy
5493005UAF5R2W4DL323,5493005UAF5R2W4DL323,LEI,GLEIF_golden_copy
5493006JAK1RTSGITS06,5493006JAK1RTSGITS06,LEI,GLEIF_golden_copy
5493006N1RXVPKY5WX32,5493006N1RXVPKY5WX32,LEI,GLEIF_golden_copy
5493006RXIB5GVHWJS53,5493006RXIB5GVHWJS53,LEI,GLEIF_golden_copy
5493006UUHUKRKECPK41,5493006UUHUKRKECPK41,LEI,GLEIF_golden_copy
54930071Y8KNRMS4OP09,54930071Y8KNRMS4OP09,LEI,GLEIF_golden_copy
54930075OW2NQHOEIK12,54930075OW2NQHOEIK12,LEI,GLEIF_golden_copy
54930077N24N414X4Z86,54930077N24N414X4Z86,LEI,GLEIF_golden_copy
5493007XE76S35N0VQ46,5493007XE76S35N0VQ46,LEI,GLEIF_golden_copy
5493009981WBHS86CJ89,5493009981WBHS86CJ89,LEI,GLEIF_golden_copy
5493009IDGFQJTJXVA51,5493009IDGFQJTJXVA51,LEI,GLEIF_golden_copy
549300APL4UGWN8NM341,549300APL4UGWN8NM341,LEI,GLEIF_golden_copy
549300AYJR0IZW296F03,549300AYJR0IZW296F03,LEI,GLEIF_golden_copy
549300B808DC4IISJQ58,549300B808DC4IISJQ58,LEI,GLEIF_golden_copy
549300BD403C81DXMP60,549300BD403C81DXMP60,LEI,GLEIF_golden_copy
549300BMTQZ9WD8CE436,549300BMTQZ9WD8CE436,LEI,GLEIF_golden_copy
549300C86PFIA7TCKD56,549300C86PFIA7TCKD56,LEI,GLEIF_golden_copy
549300CW1BIQY352BD50,549300CW1BIQY352BD50,LEI,GLEIF_golden_copy
549300DJBIZ5T0OC3F21,549300DJBIZ5T0OC3F21,LEI,GLEIF_golden_copy
549300ED6C93BGYAS129,549300ED6C93BGYAS129,LEI,GLEIF_golden_copy
549300EHYZ1MS2Q8Y379,549300EHYZ1MS2Q8Y379,LEI,GLEIF_golden_copy
549300EV3W9Z0M4CIP05,549300EV3W9Z0M4CIP05,LEI,GLEIF_golden_copy
549300F4XPHJ7NOSP309,549300F4XPHJ7NOSP309,LEI,GLEIF_golden_copy
549300FQGFLAMSREF779,549300FQGFLAMSREF779,LEI,GLEIF_golden_copy
549300FTKUHZK8OC7N74,549300FTKUHZK8OC7N74,LEI,GLEIF_golden_copy
549300GIEBY4GVO82P83,549300GIEBY4GVO82P83,LEI,GLEIF_golden_copy
549300HCJRI171KOSF72,549300HCJRI171KOSF72,LEI,GLEIF_golden_copy
549300I1AHR8KMMFIS52,549300I1AHR8KMMFIS52,LEI,GLEIF_golden_copy
549300IT8CIDW8V5KX72,549300IT8CIDW8V5KX72,LEI,GLEIF_golden_copy
549300JKT5KTWQGH8W42,549300JKT5KTWQGH8W42,LEI,GLEIF_golden_copy
549300JWU3X8ACCIGH87,549300JWU3X8ACCIGH87,LEI,GLEIF_golden_copy
549300K14DXXMNZDCC47,549300K14DXXMNZDCC47,LEI,GLEIF_golden_copy
549300K9GD47N5IXZQ65,549300K9GD47N5IXZQ65,LEI,GLEIF_golden_copy
549300KM1GF5JP05UJ64,549300KM1GF5JP05UJ64,LEI,GLEIF_golden_copy
549300L37VJWNG2OCH14,549300L37VJWNG2OCH14,LEI,GLEIF_golden_copy
549300LB21L42P0HSR70,549300LB21L42P0HSR70,LEI,GLEIF_golden_copy
549300OWG39NVI2E5198,549300OWG39NVI2E5198,LEI,GLEIF_golden_copy
549300P106XO5XQU2A71,549300P106XO5XQU2A71,LEI,GLEIF_golden_copy
549300PGU4F3PE780370,549300PGU4F3PE780370,LEI,GLEIF_golden_copy
549300Q0VR82VBFVR156,549300Q0VR82VBFVR156,LEI,GLEIF_golden_copy
549300QRMPP908M8SI98,549300QRMPP908M8SI98,LEI,GLEIF_golden_copy
549300R0OET5HG74PT78,549300R0OET5HG74PT78,LEI,GLEIF_golden_copy
549300S36NT8WUBVX990,549300S36NT8WUBVX990,LEI,GLEIF_golden_copy
549300SXF71VP5KW5039,549300SXF71VP5KW5039,LEI,GLEIF_golden_copy
549300T2F3GRRHU02B49,549300T2F3GRRHU02B49,LEI,GLEIF_golden_copy
549300T4GFG5I42BNR82,549300T4GFG5I42BNR82,LEI,GLEIF_golden_copy
549300UZWTSBHM6BJE80,549300UZWTSBHM6BJE80,LEI,GLEIF_golden_copy
549300VCNLWIB4RRS716,549300VCNLWIB4RRS716,LEI,GLEIF_golden_copy
549300VENQLSFKQRK012,549300VENQLSFKQRK012,LEI,GLEIF_golden_copy
549300WSGCD3YF8M8T21,549300WSGCD3YF8M8T21,LEI,GLEIF_golden_copy
549300WZJKUEYL1YXB12,549300WZJKUEYL1YXB12,LEI,GLEIF_golden_copy
549300XC9E3MQMOFK383,549300XC9E3MQMOFK383,LEI,GLEIF_golden_copy
549300XPJZZJ9WTCY720,549300XPJZZJ9WTCY720,LEI,GLEIF_golden_copy
549300YNENDZ7HTNC258,549300YNENDZ7HTNC258,LEI,GLEIF_golden_copy
549300Z9RSLCM1W45F39,549300Z9RSLCM1W45F39,LEI,GLEIF_golden_copy
549300ZPYG4FCU31IX47,549300ZPYG4FCU31IX47,LEI,GLEIF_golden_copy
894500F6R3BZZZO7F113,894500F6R3BZZZO7F113,LEI,GLEIF_golden_copy
9845007B8A8J47BC9207,9845007B8A8J47BC9207,LEI,GLEIF_golden_copy
B1EEF6ML54YDWRC6ZK53,B1EEF6ML54YDWRC6ZK53,LEI,GLEIF_golden_copy
JSP0TNC596XKLBPR0Y26,JSP0TNC596XKLBPR0Y26,LEI,GLEIF_golden_copy
MJATGU4J97KOUNZJNS73,MJATGU4J97KOUNZJNS73,LEI,GLEIF_golden_copy
PRAQ4VOSFIK7OQ8Z2512,PRAQ4VOSFIK7OQ8Z2512,LEI,GLEIF_golden_copy
QQTTPMZD0WKQL0H5S472,QQTTPMZD0WKQL0H5S472,LEI,GLEIF_golden_copy
